Filename,Subject,Vowel,Word,F0,F1_50,F2_50,F3_50,F4,Duration
subj65_m_veto_44,subj65,e,veto,NA,427.97572770734706,1913.3915745153208,2434.247769859157,3781.635325987263,0.10520375868189548
subj66_m_cuco_181,subj66,u,cuco,100.62949462730202,670.293578452892,3081.296261218608,3453.260006953842,NA,0.0789458802246088
subj66_m_puso_175,subj66,u,puso,NA,500.8056649835164,2638.0052222152094,3161.4232940244365,5258.509405387203,0.10989639908257232
subj66_m_puso_84,subj66,u,puso,117.51943689783988,651.0805619577012,2758.21839144763,3350.71509844082,NA,0.11336832050052692
subj67_m_quito_299,subj67,i,quito,NA,247.87449183060957,2613.115530111184,2998.136796487261,4037.7104706443056,0.03659910524180532
subj68_m_pite_132,subj68,i,pite,NA,294.2081962898905,2484.8633464714026,3077.2397112760373,3671.985925677479,0.05566170575653473
subj68_m_quite_274,subj68,i,quite,NA,275.69961257290817,2313.561641911156,3044.0599606496216,3626.1628055134033,0.02858845969944923
subj68_m_saque_101,subj68,a,saque,NA,732.162806376064,1598.1919777167511,2423.6347586311917,3699.9089175524377,0.06189671350627179
subj69_m_pica_99,subj69,i,pica,NA,323.11786484254685,2442.2650009894683,3210.7849622563335,3849.7837825681954,0.06180093373278339
subj69_m_saque_304,subj69,a,saque,NA,730.6988541501787,1706.0862011756246,2641.10094347348,3756.144217892559,0.06333910358802086
subj69_m_seque_172,subj69,e,seque,NA,507.5521686989016,1998.3059455472144,2656.7309142570452,3759.864102386932,0.05356080923507989
subj70_m_bota_148,subj70,o,bota,NA,232.07189235698652,676.6777882604566,2760.435150087762,4407.770515801388,0.10162820213835744
subj70_m_cosa_122,subj70,o,cosa,NA,302.61647519245116,2433.1069046964126,3525.945555248444,4640.344112575631,0.07416112047933154
subj70_m_cura_319,subj70,u,cura,109.8270949492528,530.9147259427502,2657.907581956705,4215.886495104717,NA,0.12086242076088638
subj70_m_saco_110,subj70,a,saco,NA,1222.2338678032909,2549.7014579154666,3947.3995803290654,5063.837744822157,0.06097325607898085
subj70_m_seque_264,subj70,e,seque,NA,332.1447291326221,1659.2106433420047,2647.825057085,3745.5852568177897,0.05852066289486402
subj70_m_supo_50,subj70,u,supo,NA,351.90868628134,2390.8331812991923,2536.8561882067197,4068.568885519375,0.08789466130884449
subj70_m_toque_126,subj70,o,toque,NA,692.146681969032,2190.5289722798725,2876.8499374402963,4252.638364545856,0.07416112047933154
subj70_m_voto_326,subj70,o,voto,NA,395.0719432286615,1875.1488792651924,3042.103339105286,3666.108581118051,0.08789994237156407
subj72_m_saco_120,subj72,a,saco,NA,812.6227514335592,1639.533797731694,2417.6086729471112,3445.9150210037938,0.06192629041508724
subj72_m_seso_239,subj72,e,seso,NA,480.3857703019413,1935.2841095951092,2991.418701101069,3817.9299231648192,0.04781806342194272
subj75_m_supo_263,subj75,u,supo,133.69392993823078,540.109837526257,2689.3266597843813,3552.994173994704,NA,0.09554762635912084
subj78_m_saco_184,subj78,a,saco,NA,503.9452189579146,1453.5501880208908,2631.0396465635336,4047.967636445478,0.06894916902717796
subj79_m_bate_210,subj79,a,bate,NA,642.483967646607,1313.7078733671165,2292.344221059278,3295.2691709990213,0.05515798826257878
subj79_m_bote_71,subj79,o,bote,NA,385.7670458892873,852.6139090422771,2999.2918549758556,3548.5996051151665,0.06782136202447475
subj79_m_cosa_120,subj79,o,cosa,NA,503.25651191171727,741.9496832128557,2543.7296615092846,3512.24742439992,0.0471361372252943
subj79_m_cuco_91,subj79,u,cuco,NA,358.16045766197766,785.3411020387077,2833.7781795005435,3959.367203348832,0.03892399926955647
