Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Randomise questionnaire elements?,Question Key,Response
2,1669954088433,02/12/2022 04:08:08,1669954088164,-6,01/12/2022 22:08:08,92237,21,questionnaire-7e5k,,25622496,BLIND,7588888,,complete,,63897a16875ed55c8f8cb4bd,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,414x896,414x719,,Consent,6,Block 2-B,soundCheckPassed,No,response-1,1
3,1669954088950,02/12/2022 04:08:08,1669954088168,-6,01/12/2022 22:08:08,92237,21,questionnaire-7e5k,,25622496,BLIND,7588888,,complete,,63897a16875ed55c8f8cb4bd,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,414x896,414x719,,Consent,6,Block 2-B,soundCheckPassed,No,END QUESTIONNAIRE,3327
1,1669953973036,02/12/2022 04:06:13,1669953972878,-6,01/12/2022 22:06:12,92237,21,questionnaire-7e5k,,25622494,BLIND,7588887,,complete,,63897973ac44055b67fa0eb8,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,414x896,414x715,,Consent,6,Block 7-A,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669953981298,02/12/2022 04:06:21,1669953981190,-6,01/12/2022 22:06:21,92237,21,questionnaire-7e5k,,25622494,BLIND,7588887,,complete,,63897973ac44055b67fa0eb8,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,414x896,414x715,,Consent,6,Block 7-A,soundCheckPassed,No,response-1,1
3,1669953981483,02/12/2022 04:06:21,1669953981194,-6,01/12/2022 22:06:21,92237,21,questionnaire-7e5k,,25622494,BLIND,7588887,,complete,,63897973ac44055b67fa0eb8,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,414x896,414x715,,Consent,6,Block 7-A,soundCheckPassed,No,END QUESTIONNAIRE,8316
1,1669951259174,02/12/2022 03:20:59,1669951259403,-8,01/12/2022 19:20:59,92237,21,questionnaire-7e5k,,25622327,BLIND,7588853,,complete,,63896f07cbb3eba261c30f02,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,2048x1152,2048x1080,,Consent,6,Block 0-A,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669953287794,02/12/2022 03:54:47,1669953287743,-8,01/12/2022 19:54:47,92237,21,questionnaire-7e5k,,25622327,BLIND,7588853,,complete,,63896f07cbb3eba261c30f02,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1903x1007,,Consent,6,Block 0-A,soundCheckPassed,No,response-1,1
3,1669953287972,02/12/2022 03:54:47,1669953287744,-8,01/12/2022 19:54:47,92237,21,questionnaire-7e5k,,25622327,BLIND,7588853,,complete,,63896f07cbb3eba261c30f02,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1903x1007,,Consent,6,Block 0-A,soundCheckPassed,No,END QUESTIONNAIRE,2028341
1,1669950470950,02/12/2022 03:07:50,1669950470766,-6,01/12/2022 21:07:50,92237,21,questionnaire-7e5k,,25622287,BLIND,7588845,,complete,,63896bf9f87fd4ede0eb48ea,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x657,,Consent,6,Block 5-B,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669950482294,02/12/2022 03:08:02,1669950482198,-6,01/12/2022 21:08:02,92237,21,questionnaire-7e5k,,25622287,BLIND,7588845,,complete,,63896bf9f87fd4ede0eb48ea,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1349x657,,Consent,6,Block 5-B,soundCheckPassed,No,response-1,1
