Filename,Subject,Vowel,F0,F1_50,F2_50,F3_50,F4,Duration
subj4_f_vete_251,subj4,e,207.66849224753145,651.7295309964275,2179.9046066074516,3028.9825844063394,4580.518716959297,0.1404471465951076
subj4_f_vete_58,subj4,e,218.59677851440193,661.1544179243924,1755.7351706231818,2241.2050867195294,3169.561778479457,0.12391191270521064
subj4_f_veto_330,subj4,e,219.22989328839788,661.3317806576448,2172.414490864103,3120.235085784523,4633.881278139238,0.1149367149453724
subj4_f_veto_86,subj4,e,220.84568358832104,662.530369861375,2227.774143748529,3073.9260063926395,4451.200890390263,0.11922593453323316
subj4_f_viso_334,subj4,i,232.8709449446208,452.1912282003434,2568.555895443675,3073.4088463310813,4139.538360448581,0.16674665832937308
subj4_f_viso_52,subj4,i,229.16754419137987,397.0137280646411,1366.7034812921102,2928.839998844017,3717.584214753502,0.11251758924358056
subj4_f_voto_200,subj4,o,209.3414422457175,550.1669173024543,875.4414354566644,2979.278302943095,4120.162784584886,0.14178211826560982
subj4_f_voto_327,subj4,o,230.62121028083135,534.6417941667781,1004.2815022117826,3009.2762507460975,4319.97697044294,0.1275662060944569
subj50_f_basto_182,subj50,a,204.54276844597888,763.2104349977117,1404.1664287033343,2816.322549294074,3973.335909666728,0.1454816558815537
subj50_f_bata_259,subj50,a,185.47160617325497,847.7234686518274,1613.186857300032,2972.255724406276,4348.578774652445,0.08435053179681518
subj50_f_bate_161,subj50,a,193.42340862375573,898.1165899539352,1597.2633872988222,3174.1753491403256,4220.6209226553965,0.08387507740351907
subj50_f_bate_195,subj50,a,194.65444756991812,836.8506740870201,1742.5302871701217,3085.1914188223104,4377.0106300305615,0.12265558338748406
subj50_f_bato_138,subj50,a,192.5575301761656,862.0719052318481,1498.4368222866303,2737.5744542823736,3861.386021461453,0.09715516407771928
subj50_f_beta_295,subj50,e,200.2831993780433,582.263585889009,2480.7243250930032,3248.767090516079,4392.113643440458,0.09192472290681052
subj50_f_beta_74,subj50,e,204.25665746754365,563.3173989047768,2403.707248999096,3178.21367612383,4336.698238695478,0.08045022717091399
subj50_f_beto_94,subj50,e,187.5904969882604,534.6340525065043,2298.415127986594,2996.4437816594627,4258.393364044617,0.0982284271797056
subj50_f_bota_239,subj50,o,184.0212622675919,545.75335653862,1099.7442712495424,2878.280613599785,3902.782585107982,0.10342530669154826
subj50_f_bota_70,subj50,o,199.2874399124689,576.4543574894997,972.800560760626,2963.0639198442673,3915.555449472588,0.10586790260147438
subj50_f_bote_266,subj50,o,190.7182821048125,551.7441346032018,1126.8328200989915,2915.252711349103,3918.869369436238,0.08847609459149908
subj50_f_bote_57,subj50,o,201.8998872226166,593.6933484295803,994.2147932148308,2851.0530162868818,3988.115576391834,0.09930759905735442
subj50_f_buque_149,subj50,u,209.36893460361009,457.20249915293346,552.1771472101046,2839.36504574662,4396.0392614568145,0.0840205948895516
subj50_f_buque_188,subj50,u,218.1616262776905,409.5050391497593,872.6050785358101,2692.536766691112,4194.865329764544,0.10293300867411403
subj50_f_coro_103,subj50,o,192.24760181847253,520.2716624454296,939.9327785892242,2648.2772063248426,4010.680391191054,0.11310964768469488
subj50_f_coro_219,subj50,o,218.41515883335916,516.0142227338391,906.6608343257018,2837.910060065391,4073.78442885984,0.12334501389440788
subj50_f_cosa_215,subj50,o,202.78858676551383,534.1210664518183,1137.9708005936895,2812.710935411738,4027.918057614969,0.12468887676652685
subj50_f_cosa_87,subj50,o,221.17994680253503,484.79871022352546,908.506113729114,2985.06261773507,4046.883988672853,0.1362856588478536
subj50_f_cuco_289,subj50,u,213.7116224845086,387.12782598565576,780.3351416718224,2808.498375737659,3917.397974192179,0.1079223901788282
subj50_f_cucu_35,subj50,u,154.27388246851825,391.1521883008393,1030.9049166673926,2854.092835555563,4355.336707274334,0.0848613162695031
subj50_f_cura_109,subj50,u,222.27614345915833,426.95574643466665,760.0697399038153,2750.1961187897173,4157.660421396424,0.12545472665551927
subj50_f_cura_262,subj50,u,210.0399352866518,409.84346210002616,2114.5770324755413,3549.739172110508,4529.39919979503,0.12769074001738545
subj50_f_peca_115,subj50,e,219.75346721264245,515.938023553011,2558.353767912152,3168.5869437895585,4422.293881964344,0.0966790631044745
