Subject,Gender,Vowel,Max_Formant
subj28,f,o,5526.315789473684
subj25,f,i,5526.315789473684
subj19,f,u,4052.6315789473683
subj61,m,u,4684.210526315789
subj25,f,i,6789.473684210527
subj55,m,a,5315.78947368421
subj52,m,e,5526.315789473684
subj80,m,u,5105.263157894737
subj11,m,e,4684.210526315789
subj36,f,i,6368.421052631578
subj23,f,o,5105.263157894737
subj21,f,o,5736.842105263158
subj55,m,o,4684.210526315789
subj31,m,i,5105.263157894737
subj14,m,o,4263.157894736842
subj42,f,o,5526.315789473684
subj38,f,e,6368.421052631578
subj7,f,u,3631.578947368421
subj23,f,o,4894.736842105263
subj9,m,a,4473.684210526316
subj31,m,i,4894.736842105263
subj1,m,u,4894.736842105263
subj70,m,u,3000.0
subj64,m,a,4263.157894736842
subj55,m,u,4263.157894736842
subj80,m,u,4684.210526315789
subj68,m,o,4684.210526315789
subj14,m,e,4052.6315789473683
subj39,f,i,4684.210526315789
subj13,f,e,5526.315789473684
subj58,m,e,4263.157894736842
subj6,f,e,6157.894736842105
subj63,m,i,5736.842105263158
subj2,f,o,5526.315789473684
subj60,m,a,4473.684210526316
subj18,f,a,5105.263157894737
subj7,f,o,5105.263157894737
subj19,f,e,6157.894736842105
subj63,m,i,7000.0
subj24,m,u,4263.157894736842
subj45,f,u,4894.736842105263
subj44,f,o,5105.263157894737
subj14,m,o,4263.157894736842
subj3,m,i,4263.157894736842
subj59,m,e,4052.6315789473683
subj66,m,e,3631.578947368421
subj64,m,a,4052.6315789473683
subj31,m,a,5315.78947368421
subj74,m,o,3842.1052631578946
subj22,f,a,6157.894736842105
subj56,m,e,5315.78947368421
subj38,f,i,5315.78947368421
subj42,f,a,6157.894736842105
subj1,m,a,5947.368421052632
